dataset,z_ini,z_fin,x_ini,x_fin,y_ini,y_fin,voidmean,rockmedian,sigla_campo,bacia,condition,formacao,direcao_amostra,klinkenberg,codigo_facies,permeabilidade_longitudinal_m_d,porosidade_perc,log_pixelquadrado,cod_8cl,cod_10cl,reservatorio,classperm,classporo,log_perm,quantiles4,quantiles5,quantiles10
/data/RJS731_V012176H_LIMPA_P_38900nm.nc,40,1631,179,844,178,843,4728.793633,6504.578305,MRO,SANTOS,LIMPA,ITP,VH1,TRUE,RDS,89.5,11.5,-5.062956125,RDS,RDS,HPQHPR,HPQ,HPR,1.951823035," 3609.,10695.,11269.,11592.,46548."," 3609.,10390.,11111.,11400.,11663.,46548."," 3609., 9201.,10390.,10881.,11111.,11269.,11400.,11527.,11663.,11842.,
 46548."
/data/PPT13DRJS_P8796IH1_ANTES_P_32190nm.nc,100,1192,217,1028,212,1023,5483.826836,853.2340168,PPT,CAMPOS(M),ANTES,RO,,,,,,,,,,,,," 5006., 6128., 6341., 6522.,40679."," 5006., 6075., 6263., 6414., 6561.,40679."," 5006., 5939., 6075., 6176., 6263., 6341., 6414., 6485., 6561., 6659.,
 40679."
/data/ESS227D_755740_SUJA_AL_29660nm.nc,105,1529,209,736,161,688,6588.265681,2229.07534,,ESPÍRITO SANTO(M,SUJA,,,,,,,,,,,,,," 6554., 8642., 8868., 9172.,62653."," 6554., 8583., 8781., 8967., 9255.,62653."," 6554., 8407., 8583., 8693., 8781., 8868., 8967., 9095., 9255., 9447.,
 62653."
/data/RJS755_614590_LIMPA_AL_37500nm.nc,165,1492,204,896,201,893,3487.318644,7735.597856,,CAMPOS(M),LIMPA,,,,,,,,,,,,,," 7709.,10900.,11234.,11566.,65335."," 7709.,10814.,11110.,11358.,11652.,65335."," 7709.,10579.,10814.,10976.,11110.,11234.,11358.,11491.,11652.,11902.,
 65335."
/data/RJS709_G0286H_LIMPA_P_39091nm.nc,45,1492,176,822,175,821,2548.959339,4694.881387,BUZ,SANTOS,LIMPA,ITP,VH1,TRUE,RDS,742,17.5,-4.123451359,RDS,RDS,HPQHPR,HPQ,HPR,2.870403905,"  618., 6788., 7325., 7756.,61253.","  618., 6594., 7147., 7490., 7863.,61253.","  618., 5628., 6594., 6930., 7147., 7325., 7490., 7662., 7863., 8164.,
 61253."
/data/RJS709_G0286H_LIMPA_P_38500nm.nc,40,1520,184,839,181,836,2733.90506,4982.002181,BUZ,SANTOS,LIMPA,ITP,VH1,TRUE,RDS,742,17.5,-4.122236821,RDS,RDS,HPQHPR,HPQ,HPR,2.870403905,"  545., 7187., 7699., 8102.,58420.","  545., 7001., 7531., 7855., 8200.,58420.","  545., 6081., 7001., 7324., 7531., 7699., 7855., 8014., 8200., 8477.,
 58420."
/data/RJS709_G0169H_LIMPA_P_33697nm.nc,40,1577,197,974,207,984,3206.538408,4832.687055,BUZ,SANTOS,LIMPA,ITP,VH1,TRUE,RDS,232,17.1,-4.659773196,RDS,RDS,HPQHPR,HPQ,HPR,2.365487985," 2704., 7294., 8023., 8320.,60593."," 2704., 6939., 7840., 8155., 8375.,60593."," 2704., 5557., 6939., 7537., 7840., 8023., 8155., 8266., 8375., 8507.,
 60593."
/data/BUZ9_571630_LIMPA_AL_30100nm.nc,100,1552,234,1100,232,1098,3247.43798,4052.264965,BUZ,SANTOS,LIMPA,BVE,,,,260.1,17.8,-4.60626509,,,HPQHPR,HPQ,HPR,2.415140352," 1856., 6649., 7272., 7645.,49690."," 1856., 6438., 7086., 7424., 7729.,49690."," 1856., 5812., 6438., 6824., 7086., 7272., 7424., 7569., 7729., 7966.,
 49690."
/data/AG331A_B7283H_LIMPA_P_30808nm.nc,55,1541,236,1067,229,1060,2666.547954,1963.516074,AG,RECÔNCAVO(T),LIMPA,SG,,,,,,,,,,,,,"  381., 4331., 4627., 4827.,64310.","  381., 4230., 4534., 4708., 4872.,64310.","  381., 3931., 4230., 4412., 4534., 4627., 4708., 4786., 4872., 4987.,
 64310."
/data/RJS682A_F3238V_LIMPA_P_45675nm.nc,70,1431,150,714,150,714,1641.140295,4451.583922,SRR,SANTOS,LIMPA,BVE,VV1,TRUE,,0.01,15.2,-9.011151987,,,LPQHPR,LPQ,HPR,-2," 1489., 5852., 6100., 6357.,56076."," 1489., 5791., 6006., 6196., 6421.,56076."," 1489., 5634., 5791., 5906., 6006., 6100., 6196., 6299., 6421., 6593.,
 56076."
/data/LL1DRJS_F4428H_LIMPA_P_39230nm.nc,115,1373,190,836,179,825,2158.911643,3572.941381,TUP,SANTOS,LIMPA,BVE,IH1,TRUE,,,,,,,,,,,"  764., 5321., 5805., 6034.,63795.","  764., 5071., 5683., 5901., 6083.,63795.","  764., 3988., 5071., 5486., 5683., 5805., 5901., 5989., 6083., 6205.,
 63795."
/data/LL55DRJS_528600_LIMPA_AL_33660nm.nc,20,1236,221,998,214,991,1673.306882,1977.857406,TUP,SANTOS,LIMPA,BVE,,,ETR,6.81,13.3,-6.191159816,ETR,ETR,LPQHPR,LPQ,HPR,0.833147112,"  901., 3461., 3693., 3888.,38003.","  901., 3394., 3611., 3769., 3934.,38003.","  901., 3190., 3394., 3517., 3611., 3693., 3769., 3847., 3934., 4048.,
 38003."
/data/SPS77A_F5177H_LIMPA_P_44204nm.nc,140,1653,155,733,153,731,2530.931673,4337.672887,SPH,SANTOS,LIMPA,BVE,VH2,TRUE,ETR,1170,19.9,-3.935829623,ETR,ETR,HPQHPR,HPQ,HPR,3.068185862," 2396., 6126., 6870., 7172.,65225."," 2396., 5839., 6656., 7014., 7222.,65225."," 2396., 4896., 5839., 6344., 6656., 6870., 7014., 7123., 7222., 7343.,
 65225."
/data/RJS757D_640550_SUJA_AL_32500nm.nc,25,1418,245,1045,228,1028,2225.766823,4273.32587,,CAMPOS(M),SUJA,,,,,2.5,14.7,-6.621243354,,,LPQHPR,LPQ,HPR,0.397940009," 2347., 6167., 6532., 6936.,59304."," 2347., 6087., 6387., 6684., 7031.,59304."," 2347., 5885., 6087., 6243., 6387., 6532., 6684., 6847., 7031., 7267.,
 59304."
/data/ANP2ARJS_F2743H_LIMPA_P_41795nm.nc,100,1517,173,794,170,791,4536.265675,8270.131968,MRO,SANTOS,LIMPA,BVE,VH1,TRUE,,,,,,,,,,," 3611.,12571.,13063.,13571.,34634."," 3611.,12451.,12877.,13252.,13700.,34634."," 3611.,12136.,12451.,12680.,12877.,13063.,13252.,13457.,13700.,14048.,
 34634."
/data/RJS710_P8959_LIMPA_P_35516nm.nc,125,1429,189,923,181,915,5039.1574,6275.17519,TVD,CAMPOS(M),LIMPA,QM,VH1,TRUE,,49.4,22,-5.327749933,,,HPQHPR,HPQ,HPR,1.693726949," 3911.,10734.,11521.,12090.,41624."," 3911.,10496.,11256.,11754.,12210.,41624."," 3911., 9783.,10496.,10933.,11256.,11521.,11754.,11977.,12210.,12497.,
 41624."
/data/RJS752_572550_LIMPA_AL_15000nm.nc,250,1750,331,1409,312,1390,4771.095506,3840.330375,,SANTOS,LIMPA,,,,,,,,,,,,,," 3879., 8284., 8625., 8972.,55957."," 3879., 8199., 8497., 8755., 9060.,55957."," 3879., 7976., 8199., 8360., 8497., 8625., 8755., 8894., 9060., 9299.,
 55957."
/data/RJS749_T012338V_LIMPA_P_58500nm.nc,60,498,123,561,127,565,1752.870146,7351.03106,MRO,SANTOS,LIMPA,BVE,IV1,TRUE,,,,,,,,,,," 1257., 8271., 9090., 9490.,52020."," 1257., 7778., 8881., 9257., 9575.,52020."," 1257., 5516., 7778., 8554., 8881., 9090., 9257., 9411., 9575., 9789.,
 52020."
/data/SRR5_V018811H_LIMPA_P_44000nm.nc,175,1631,170,750,172,752,7510.329203,9538.518159,SRR,SANTOS,LIMPA,BVE,VH1,TRUE,ESF,92.3,22.8,-5.037796306,ESF,ESF,HPQHPR,HPQ,HPR,1.965201701," 8340.,16406.,17094.,17771.,42187."," 8340.,16221.,16842.,17344.,17948.,42187."," 8340.,15683.,16221.,16566.,16842.,17094.,17344.,17616.,17948.,18435.,
 42187."
/data/RJS729_543100_SUJA_AL_31000nm.nc,20,1145,231,1079,254,1102,0,7533,OATP,SANTOS,SUJA,BVE,,,,,,,,,,,,," 2025., 7217., 7539., 7857.,53319."," 2025., 7135., 7419., 7659., 7936.,53319."," 2025., 6915., 7135., 7289., 7419., 7539., 7659., 7786., 7936., 8144.,
 53319."
/data/BR69DA_T011273H_LIMPA_P_48640nm.nc,55,1494,191,710,180,699,3546.524798,5225.739427,BR,CAMPOS(M),LIMPA,MCB,IH1,FALSE,,,,,,,,,,," 4868., 8438., 8794., 9070.,65335."," 4868., 8329., 8673., 8904., 9132.,65335."," 4868., 7991., 8329., 8528., 8673., 8794., 8904., 9013., 9132., 9286.,
 65335."
/data/LL36A_V012804V_ANTES_P_43095nm.nc,180,1596,176,781,179,784,6627.655059,10949.79197,TUP,SANTOS,ANTES,BVE,VV1,TRUE,,13.3,13.9,-5.897749546,,,HPQHPR,HPQ,HPR,1.123851641," 8273.,16847.,17468.,18004.,65335."," 8273.,16671.,17248.,17677.,18127.,65335."," 8273.,16144.,16671.,16996.,17248.,17468.,17677.,17891.,18127.,18431.,
 65335."
/data/SPS77A_F5776H_LIMPA_P_37505nm.nc,100,1560,190,876,190,876,3332.799271,5325.468197,SPH,SANTOS,LIMPA,BVE,VH2,TRUE,ETR,894,11.1,-4.058725719,ETR,ETR,HPQHPR,HPQ,HPR,2.951337519," 2516., 8057., 8612., 8949.,62264."," 2516., 7809., 8451., 8749., 9023.,62264."," 2516., 6778., 7809., 8226., 8451., 8612., 8749., 8881., 9023., 9209.,
 62264."
/data/BUZ43_595130_SUJA_AL_18000nm.nc,125,1490,270,1239,269,1238,7226.096987,1853.755244,BUZ,SANTOS,SUJA,ITP,,,,,,,,,,,,,"  128., 8842., 9080., 9256.,38018.","  128., 8762., 9002., 9150., 9296.,38018.","  128., 8514., 8762., 8905., 9002., 9080., 9150., 9219., 9296., 9397.,
 38018."
/data/STAT10A_627750_SUJA_AL_35200nm.nc,65,1229,214,953,212,951,2801.766648,4834.504527,,SANTOS,SUJA,,,,,,,,,,,,,," 1132., 7351., 7654., 7946.,62526."," 1132., 7269., 7544., 7764., 8020.,62526."," 1132., 7017., 7269., 7422., 7544., 7654., 7764., 7880., 8020., 8227.,
 62526."
/data/LL1D_F4469H_LIMPA_P_41182nm.nc,100,1579,162,783,161,782,6679.495271,2845.38102,TUP,SANTOS,LIMPA,BVE,IH1,TRUE,,,,,,,,,,," 6456., 9342., 9590., 9775.,59958."," 6456., 9261., 9509., 9663., 9817.,59958."," 6456., 9006., 9261., 9407., 9509., 9590., 9663., 9736., 9817., 9928.,
 59958."
/data/SPS74_F2924H_LIMPA_P_41859nm.nc,85,1650,176,783,180,787,2584.948768,3364.575145,LPA,SANTOS,LIMPA,BVE,VH1,TRUE,RDS,918,16.3,-4.036349066,RDS,RDS,HPQHPR,HPQ,HPR,2.962842681,"  553., 5359., 5987., 6293.,57895.","  553., 5067., 5825., 6114., 6358.,57895.","  553., 4123., 5067., 5567., 5825., 5987., 6114., 6232., 6358., 6521.,
 57895."
/data/SPS74_F2924H_LIMPA_P_42069nm.nc,65,1646,179,789,185,795,2582.35259,3949.719161,LPA,SANTOS,LIMPA,BVE,VH1,TRUE,RDS,918,16.3,-4.044978033,RDS,RDS,HPQHPR,HPQ,HPR,2.962842681," 1823., 5889., 6510., 6819.,55074."," 1823., 5608., 6347., 6640., 6883.,55074."," 1823., 4695., 5608., 6091., 6347., 6510., 6640., 6758., 6883., 7046.,
 55074."
/data/3RJS731RJ_V012175H_LIMPA_P_40330nm.nc,75,1524,178,826,179,827,3118.356568,4408.614528,MRO,SANTOS,LIMPA,ITP,VH1,TRUE,RDS,0.136,10.1,-7.890104215,RDS,RDS,LPQHPR,LPQ,HPR,-0.866461092," 1677., 6399., 7434., 8066.,65335."," 1677., 6221., 6960., 7747., 8165.,65335."," 1677., 5399., 6221., 6565., 6960., 7434., 7747., 7968., 8165., 8392.,
 65335."
/data/RJS757D_689000_SUJA_AL_18000nm.nc,150,1110,278,1108,283,1113,4770.311495,3594.774284,,CAMPOS(M),SUJA,,,,,,,,,,,,,," 3743., 8096., 8392., 8677.,19474."," 3743., 8020., 8282., 8500., 8746.,19474."," 3743., 7808., 8020., 8163., 8282., 8392., 8500., 8614., 8746., 8929.,
 19474."
/data/SPS106_627770_LIMPA_AL_21000nm.nc,340,1693,272,1025,268,1021,9887.28053,4799.035998,,SANTOS,LIMPA,,,,,,,,,,,,,," 3689.,13833.,14698.,15790.,57719."," 3689.,13630.,14361.,15062.,16177.,57719."," 3689.,13101.,13630.,14018.,14361.,14698.,15062.,15503.,16177.,18893.,
 57719."
/data/BUZ54_576670_SUJA_AL_20000nm.nc,180,1187,270,1136,262,1128,4276.40491,3191.541408,BUZ,SANTOS,SUJA,,,,,19.4,21.5,-5.378530713,,,HPQHPR,HPQ,HPR,1.28780173," 3195., 7027., 7456., 7779.,62293."," 3195., 6889., 7313., 7585., 7851.,62293."," 3195., 6427., 6889., 7138., 7313., 7456., 7585., 7712., 7851., 8033.,
 62293."
/data/STAT10A_641000_SUJA_AL_30500nm.nc,170,1205,240,1095,229,1084,5221.948799,9126.654006,,SANTOS,SUJA,,,,,,,,,,,,,," 9336.,13849.,14386.,14919.,46929."," 9336.,13714.,14185.,14587.,15050.,46929."," 9336.,13355.,13714.,13969.,14185.,14386.,14587.,14801.,15050.,15395.,
 46929."
/data/BUZ2_596480_LIMPA_AL_22800nm.nc,10,1312,316,1468,296,1448,2639.642368,1659.323076,BUZ,SANTOS,LIMPA,ITP,,,RDS,145.2,13.2,-4.866044703,RDS,RDS,HPQHPR,HPQ,HPR,2.161966616," 1057., 3964., 4263., 4464.,32033."," 1057., 3873., 4164., 4347., 4506.,32033."," 1057., 3483., 3873., 4039., 4164., 4263., 4347., 4425., 4506., 4611.,
 32033."
/data/RJS711_F9385H_LIMPA_P_40000nm.nc,190,1702,178,826,176,824,4610.541377,5075.428782,ATP,SANTOS,LIMPA,BVE,VH1,TRUE,ESF,36.1,12.4,-5.45899946,ESF,ESF,HPQHPR,HPQ,HPR,1.557507202," 4542., 9292., 9701.,10054.,47222."," 4542., 9176., 9556., 9839.,10135.,47222."," 4542., 8826., 9176., 9390., 9556., 9701., 9839., 9979.,10135.,10340.,
 47222."
/data/RJS709_G0275H_LIMPA_P_38189nm.nc,170,1454,220,873,223,876,2782.012873,4911.748448,BUZ,SANTOS,LIMPA,ITP,VH1,TRUE,RDS,2350,17,-3.61187174,RDS,RDS,HPQHPR,HPQ,HPR,3.371067862,"  682., 7223., 7724., 8142.,65335.","  682., 7045., 7556., 7883., 8249.,65335.","  682., 6013., 7045., 7354., 7556., 7724., 7883., 8049., 8249., 8573.,
 65335."
/data/RJS709_G0275H_SUJA_P_33619nm.nc,105,1633,215,967,185,937,3319.958802,4263.366968,BUZ,SANTOS,LIMPA,ITP,VH1,TRUE,RDS,2350,17,-3.623774068,RDS,RDS,HPQHPR,HPQ,HPR,3.371067862," 1438., 7291., 7648., 7958.,64966."," 1438., 7162., 7529., 7763., 8042.,64966."," 1438., 6300., 7162., 7385., 7529., 7648., 7763., 7887., 8042., 8330.,
 64966."
/data/LL69_V016125H_LIMPA_P_40000nm.nc,205,1336,243,871,235,863,4164.830943,9621.790128,TUP,SANTOS,LIMPA,BVE,VH1,TRUE,,41.48,19.2,-5.37143719,,,HPQHPR,HPQ,HPR,1.617838748," 2571.,13030.,13924.,14573.,65535."," 2571.,12696.,13635.,14183.,14723.,65535."," 2571.,11131.,12696.,13274.,13635.,13924.,14183.,14438.,14723.,15106.,
 65535."
/data/BUZ4_V012362H_LIMPA_P_42200nm.nc,80,1491,173,785,166,778,3568.11599,4067.888634,BUZ,SANTOS,LIMPA,BVE,VH1,TRUE,,4234,17.2,-3.38661356,,,HPQHPR,HPQ,HPR,3.626750854," 2388., 7042., 7638., 7941.,61404."," 2388., 6746., 7481., 7764., 8004.,61404."," 2388., 5741., 6746., 7239., 7481., 7638., 7764., 7881., 8004., 8161.,
 61404."
/data/SPS77A_F4898H_LIMPA_P_53255nm.nc,100,1702,133,613,136,616,2792.971209,4940.31058,SPH,SANTOS,LIMPA,BVE,VH1,TRUE,ETR,79.7,10.1,-5.102981599,ETR,ETR,HPQHPR,HPQ,HPR,1.901458321," 3080., 7370., 7737., 8003.,59855."," 3080., 7250., 7616., 7844., 8062.,59855."," 3080., 6835., 7250., 7466., 7616., 7737., 7844., 7949., 8062., 8207.,
 59855."
/data/RJS688A_F6624H_LIMPA_P_39531nm.nc,90,1474,191,852,191,852,4125.532928,6101.503445,BUZ,SANTOS,LIMPA,ITP,VH1,TRUE,GST,1.95,14.5,-6.733480576,GST,GST,LPQHPR,LPQ,HPR,0.290034611," 3057., 9950.,10382.,10776.,61374."," 3057., 9831.,10226.,10533.,10870.,61374."," 3057., 9476., 9831.,10051.,10226.,10382.,10533.,10690.,10870.,11117.,
 61374."
/data/LL68RJS_499350_LIMPA_AL_28060nm.nc,185,1585,282,1202,277,1197,4438.674954,3244.495115,TUP,SANTOS,LIMPA,BVE,,,GST,62.23,15,-5.218987854,GST,GST,HPQHPR,HPQ,HPR,1.793999801," 2563., 7268., 7708., 8094.,62910."," 2563., 7142., 7552., 7857., 8186.,62910."," 2563., 6750., 7142., 7374., 7552., 7708., 7857., 8011., 8186., 8423.,
 62910."
/data/RJS752_543170_LIMPA_AL_15000nm.nc,245,1760,305,1374,299,1368,12463.28953,2936.741286,,SANTOS,LIMPA,,,,,,,,,,,,,," 4827.,15028.,15398.,15721.,63098."," 4827.,14920.,15268.,15523.,15799.,63098."," 4827.,14575.,14920.,15118.,15268.,15398.,15523.,15651.,15799.,16004.,
 63098."
/data/BUZ54_571090_SUJA_AL_24260nm.nc,125,1511,204,914,213,923,3774.477244,3722.787481,BUZ,SANTOS,SUJA,,,,,,,,,,,,,," 3544., 7205., 7501., 7796.,61385."," 3544., 7131., 7391., 7612., 7868.,61385."," 3544., 6927., 7131., 7272., 7391., 7501., 7612., 7731., 7868., 8059.,
 61385."
/data/RJS749D_T012507H_LIMPA_P_58500nm.nc,80,1511,126,562,125,561,1922.952012,5079.130486,MRO,SANTOS,LIMPA,BVE,IH1,TRUE,,,,,,,,,,," 1595., 6681., 6977., 7196.,48058."," 1595., 6568., 6882., 7064., 7246.,48058."," 1595., 5703., 6568., 6761., 6882., 6977., 7064., 7150., 7246., 7376.,
 48058."
/data/RJS660_F0970H_LIMPA_P_40340nm.nc,70,2060,168,808,167,807,103.4196553,18263.82786,TUP,SANTOS,LIMPA,BVE,VH1,TRUE,,1.48,12.3,-6.842806687,,,LPQHPR,LPQ,HPR,0.170261715,"    0.,15300.,19125.,22440.,65025.","    0.,14025.,17850.,20400.,23205.,65025.","    0.,10455.,14025.,16320.,17850.,19125.,20400.,21675.,23205.,24990.,
 65025."
/data/SPS77A_F5076H_SUJA_P_40420nm.nc,560,1988,209,845,181,817,4959.910078,6195.290536,SPH,SANTOS,SUJA,BVE,,,,,,,,,,,,," 3341.,10701.,11287.,11703.,65535."," 3341.,10520.,11091.,11459.,11790.,65535."," 3341., 9888.,10520.,10849.,11091.,11287.,11459.,11621.,11790.,12001.,
 65535."
/data/RJS749_T012464H_LIMPA_P_58500nm.nc,45,1488,126,566,122,562,1976.279486,5343.253161,MRO,SANTOS,LIMPA,BVE,IH1,TRUE,,,,,,,,,,," 1770., 6960., 7293., 7517.,59615."," 1770., 6819., 7191., 7383., 7567.,59615."," 1770., 5873., 6819., 7056., 7191., 7293., 7383., 7471., 7567., 7692.,
 59615."
/data/RJS688A_F6480H_LIMPA_P_39589nm.nc,40,1691,166,816,165,815,2452.711493,4154.059998,BUZ,SANTOS,ANTES,BVE,VH1,TRUE,GST,405,15.1,-4.402757421,GST,GST,HPQHPR,HPQ,HPR,2.607455023," 2116., 6161., 6693., 6986.,63009."," 2116., 5983., 6525., 6825., 7038.,63009."," 2116., 5389., 5983., 6304., 6525., 6693., 6825., 6935., 7038., 7158.,
 63009."
/data/RJS688A_F6480H_ANTES_P_40335nm.nc,100,1639,176,810,186,820,2826.461122,3459.972515,BUZ,SANTOS,ANTES,BVE,VH1,TRUE,GST,405,15.1,-4.397324282,GST,GST,HPQHPR,HPQ,HPR,2.607455023," 1944., 5985., 6507., 6843.,59082."," 1944., 5811., 6341., 6647., 6912.,59082."," 1944., 5229., 5811., 6125., 6341., 6507., 6647., 6777., 6912., 7081.,
 59082."
/data/BUZ44_572950_SUJA_AL_30210nm.nc,125,1511,175,675,211,711,3657.847215,7313.06367,BUZ,SANTOS,SUJA,BVE,,,,,,,,,,,,," 2887.,10743.,11028.,11323.,35810."," 2887.,10672.,10920.,11137.,11398.,35810."," 2887.,10486.,10672.,10806.,10920.,11028.,11137.,11256.,11398.,11602.,
 35810."
/data/RJS729_V011781H_LIMPA_P_43150nm.nc,50,1478,161,769,164,772,2577.138679,4056.004318,OATP,SANTOS,LIMPA,BVE,VH1,TRUE,GST,1.5,11.6,-6.850914167,GST,GST,LPQHPR,LPQ,HPR,0.176091259," 1957., 6309., 6638., 6920.,62754."," 1957., 6215., 6522., 6747., 6986.,62754."," 1957., 5928., 6215., 6389., 6522., 6638., 6747., 6859., 6986., 7157.,
 62754."
/data/RJS709_F9913H_ANTES_P_33582nm.nc,200,1568,213,990,217,994,3783.063543,2506.391701,BUZ,SANTOS,ANTES,BVE,VH1,TRUE,ESF,132,19.6,-4.901717888,ESF,ESF,HPQHPR,HPQ,HPR,2.120573931," 1547., 5979., 6391., 6693.,59784."," 1547., 5868., 6245., 6520., 6750.,59784."," 1547., 5542., 5868., 6076., 6245., 6391., 6520., 6637., 6750., 6884.,
 59784."
/data/MLL22_E8422V_LIMPA_P_35310nm.nc,70,1047,232,967,217,952,2142.356941,4318.562242,MLL,CAMPOS(M),LIMPA,QM,VV1,TRUE,,5.09,16.1,-6.310888998,,,LPQHPR,LPQ,HPR,0.706717782," 2212., 6178., 6465., 6720.,29525."," 2212., 6100., 6362., 6563., 6780.,29525."," 2212., 5875., 6100., 6246., 6362., 6465., 6563., 6665., 6780., 6934.,
 29525."
/data/RJS755_654860_LIMPA_AL_23400nm.nc,100,1198,201,867,195,861,2819.105987,7180.971262,,CAMPOS(M),LIMPA,,,,,,,,,,,,,," 3345., 9627.,10013.,10413.,30786."," 3345., 9534., 9867.,10162.,10514.,30786."," 3345., 9292., 9534., 9712., 9867.,10013.,10162.,10323.,10514.,10786.,
 30786."
/data/SPS77A_F5013H_SUJA_P_40230nm.nc,570,1946,190,834,187,831,14195.47862,9148.272231,SPH,SANTOS,SUJA,BVE,,,,,,,,,,,,,"12951.,22505.,23494.,24076.,65535.","12951.,22074.,23206.,23736.,24197.,65535.","12951.,20253.,22074.,22802.,23206.,23494.,23736.,23961.,24197.,24493.,
 65535."
/data/3RJS731RJ_V012248H_LIMPA_P_40330nm.nc,50,1547,179,826,184,831,2484.557773,4003.635808,MRO,SANTOS,LIMPA,ITP,VH1,TRUE,,,,,,,,,,,"  451., 6121., 6664., 7020.,65335.","  451., 5930., 6500., 6806., 7101.,65335.","  451., 5491., 5930., 6277., 6500., 6664., 6806., 6946., 7101., 7308.,
 65335."
/data/LL31D_V010748H_LIMPA_P_39815nm.nc,50,908,176,828,183,835,3114.013791,3591.017132,TUP,SANTOS,LIMPA,BVE,IH1,TRUE,,,,,,,,,,,"  129., 6439., 6765., 7026.,62666.","  129., 6325., 6656., 6866., 7088.,62666.","  129., 5729., 6325., 6524., 6656., 6765., 6866., 6970., 7088., 7255.,
 62666."
/data/RJS743A_V017631H_LIMPA_P_56465nm.nc,110,1755,151,604,149,602,2260.81848,3431.88981,MRO,SANTOS,LIMPA,BVE,VH1,TRUE,GST,147,15.9,-4.837674401,GST,GST,HPQHPR,HPQ,HPR,2.167317335,"  916., 5449., 5832., 6108.,64540.","  916., 5327., 5706., 5944., 6168.,64540.","  916., 4937., 5327., 5548., 5706., 5832., 5944., 6052., 6168., 6317.,
 64540."
/data/SPS77A_F5625H_LIMPA_P_32500nm.nc,110,1587,215,1019,232,1036,3652.078553,4826.511875,SPH,SANTOS,LIMPA,BVE,VH1,TRUE,ETR,894,11.1,-4.072177968,ETR,ETR,HPQHPR,HPQ,HPR,2.951337519," 2564., 8010., 8482., 8811.,65335."," 2564., 7817., 8334., 8613., 8885.,65335."," 2564., 6862., 7817., 8144., 8334., 8482., 8613., 8742., 8885., 9074.,
 65335."
/data/SRR2_558720_LIMPA_AL_21540nm.nc,25,1651,224,957,199,932,9605.022007,1139.881853,SRR,SANTOS,LIMPA,BVE,,,ESF,34.25,13.9,-5.051275439,ESF,ESF,HPQHPR,HPQ,HPR,1.534660576," 9216.,10611.,10754.,10891.,27359."," 9216.,10577.,10699.,10808.,10920.,27359."," 9216.,10487.,10577.,10642.,10699.,10754.,10808.,10863.,10920.,10986.,
 27359."
/data/RJS713_V010022H_LIMPA_P_36821nm.nc,30,1612,179,892,183,896,4348.283511,3105.658584,A559,SANTOS,LIMPA,,VH1,TRUE,ETR,94.2,16,-5.053555982,ETR,ETR,HPQHPR,HPQ,HPR,1.974050903,"  785., 7131., 7575., 7985.,64261.","  785., 7016., 7410., 7735., 8078.,64261.","  785., 6662., 7016., 7232., 7410., 7575., 7735., 7899., 8078., 8306.,
 64261."
/data/RJS709_G0284H_LIMPA_P_38249nm.nc,75,1629,185,840,173,828,4008.902192,3732.39798,BUZ,SANTOS,LIMPA,ITP,VH1,TRUE,RDS,293,13.5,-4.520091817,RDS,RDS,HPQHPR,HPQ,HPR,2.46686762,"  572., 7333., 7896., 8391.,65335.","  572., 7160., 7699., 8085., 8512.,65335.","  572., 6418., 7160., 7472., 7699., 7896., 8085., 8282., 8512., 8837.,
 65335."
/data/RJS753_314660_LIMPA_AL_28000nm.nc,185,1431,259,1200,262,1203,4528.498591,4915.886399,,CAMPOS(M),LIMPA,,,,,13.9,21.2,-5.887717176,,,HPQHPR,HPQ,HPR,1.1430148," 3410., 8836., 9414., 9978.,65335."," 3410., 8692., 9198., 9627.,10116.,65335."," 3410., 8308., 8692., 8966., 9198., 9414., 9627., 9854.,10116.,10472.,
 65335."
/data/BUZ33_T013013H_LIMPA_P_48875nm.nc,115,1699,150,671,149,670,3430.34368,5540.299835,BUZ,SANTOS,LIMPA,BVE,VH1,TRUE,,671.5,22.1,-4.174039638,,,HPQHPR,HPQ,HPR,2.827046017," 3885., 8379., 8953., 9405.,55556."," 3885., 8207., 8756., 9135., 9499.,55556."," 3885., 7683., 8207., 8521., 8756., 8953., 9135., 9314., 9499., 9714.,
 55556."
/data/RJS682A_F3131V_LIMPA_P_45675nm.nc,5,1495,148,712,149,713,2639.881909,4571.602709,SRR,SANTOS,LIMPA,BVE,VV1,TRUE,,0.011,13.8,-8.969759302,,,LPQHPR,LPQ,HPR,-1.958607315," 2946., 6906., 7184., 7451.,25793."," 2946., 6834., 7082., 7285., 7517.,25793."," 2946., 6634., 6834., 6969., 7082., 7184., 7285., 7392., 7517., 7689.,
 25793."
/data/LL1DRJS_F4334H_LIMPA_P_33700nm.nc,100,1569,206,985,207,986,3779.760884,3274.821466,TUP,SANTOS,LIMPA,BVE,IH1,TRUE,,,,,,,,,,," 1741., 6591., 7122., 7437.,63216."," 1741., 6407., 6958., 7256., 7501.,63216."," 1741., 5839., 6407., 6737., 6958., 7122., 7256., 7377., 7501., 7659.,
 63216."
/data/SPS77A_F5023H_SUJA_P_40470nm.nc,560,2176,193,832,185,824,13004.50541,6679.485523,SPH,SANTOS,SUJA,BVE,,,,,,,,,,,,,"12266.,18783.,19822.,20427.,65535.","12266.,18427.,19516.,20072.,20551.,65535.","12266.,17445.,18427.,19079.,19516.,19822.,20072.,20308.,20551.,20830.,
 65535."
